domain,label
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
gossip,1
